,zCMB,mB,x1,c,HOST_LOGMASS,IDSURVEY,zHEL,RA,DEC,x1ERR,cERR,COV_x1_c
19230_1.0,0.22004920301509806,21.0395,-1.64141,0.0831737,10.516,1.0,0.2215,332.890991,0.7648,0.42746,0.0467335,0.00382931
19282_1.0,0.17238656631002525,20.04103,1.24309,-0.0309499,7.0,1.0,0.1738,359.072205,-0.5059,0.24272,0.0253024,0.000952123
19341_1.0,0.2354157206391312,21.19227,-1.526,0.0240057,11.015,1.0,0.23676,15.8603,0.3314,0.3786,0.0441455,0.00172095
19353_1.0,0.15324823267881996,19.98052,0.90998,0.0406874,11.004,1.0,0.15406,43.114399,0.2518,0.20982,0.0282541,0.00133106
19543_1.0,0.1238376243205552,19.6998,-0.83315,-0.0223161,8.61533,1.0,0.1252,357.908386,0.2798,0.13952,0.0242663,0.000626096
19596_1.0,0.2903494412345675,21.33434,0.87616,-0.0374724,9.959,1.0,0.291,53.8843,0.7034,0.62098,0.0492316,0.00656105
19616_1.0,0.16455189521822733,19.98709,0.13877,-0.02465,11.04,1.0,0.16549,37.101101,0.1847,0.19507,0.0272175,0.00142774
19632_1.0,0.3137613447636566,21.56836,0.13675,-0.0520971,11.113,1.0,0.31475,40.286499,0.1444,0.55748,0.0533693,0.0080068
19658_1.0,0.19862363675256334,20.45115,0.0080203,-0.0837056,8.996,1.0,0.2,8.9032,-0.2327,0.26469,0.0357416,0.0026432
19702_1.0,0.26161748484906044,21.37615,-1.08884,-0.0567835,9.896,1.0,0.2624,47.754799,0.3568,0.47749,0.0516063,0.00564288
19775_1.0,0.1368661052734715,20.05089,-0.212482,0.0986987,10.0494,1.0,0.13809,318.956085,0.6513,0.20423,0.0307371,0.00102807
19794_1.0,0.2956766385281612,21.99438,-2.38106,0.0544006,11.367,1.0,0.29724,359.319092,0.2494,0.89829,0.0726652,0.00843755
19818_1.0,0.3039403048027388,21.24148,1.13593,-0.0291438,10.154,1.0,0.30503,35.266701,0.4964,0.56459,0.0457968,0.00860651
1990O_50.0,0.030927553973661093,15.99115,0.51757,-0.0696951,10.4738,50.0,0.03099,258.900696,16.322001,0.1821,0.0333998,-0.000392802
1990af_50.0,0.05017159665244414,17.5016,-2.16797,-0.0693196,11.2421,50.0,0.05057,323.747498,-62.737099,0.14105,0.0454902,-0.000632642
19913_1.0,0.20236791839495827,20.59442,0.11554,-0.0474412,10.051,1.0,0.2038,333.762512,-0.3413,0.34885,0.0360789,0.00232237
1992P_50.0,0.02642525747143998,15.79533,0.15615,-0.104397,10.1744,50.0,0.02531,190.703903,10.3601,0.27557,0.0428261,-0.000955395
1992ae_50.0,0.07477643516423008,18.18643,-0.748829,-0.0368564,10.1995,50.0,0.0752,322.074707,-61.5504,0.1501,0.0537084,-0.001163
1992ag_50.0,0.02592755301352241,16.13507,-0.676962,0.20097,10.3918,50.0,0.0249,201.041,-23.878799,0.10882,0.0482887,-0.000302467
1992al_50.0,0.014334286337351768,14.20005,-0.284092,-0.130405,10.0338,50.0,0.01484,311.485413,-51.394402,0.0829561,0.0273624,1.96418e-05
1992bc_50.0,0.019760162922815877,14.84408,0.85559,-0.138261,9.61338,50.0,0.02017,46.316898,-39.559601,0.0716965,0.0261465,-0.000267683
1992bg_50.0,0.03574518740529962,16.57928,-0.452709,-0.0522857,10.4968,50.0,0.03525,115.485603,-62.519402,0.12174,0.0529648,-0.0013616
1992bh_50.0,0.04509802966003912,17.34859,-0.00845537,0.0236529,10.1363,50.0,0.045,74.862801,-58.830399,0.14974,0.0453473,-0.00201556
1992bl_50.0,0.04279012925381101,17.04918,-1.72194,-0.0693182,10.8343,50.0,0.04359,348.804504,-44.743301,0.0843556,0.0457097,-0.000388039
1992bo_50.0,0.018053146189974653,15.50736,-2.00428,-0.0636837,10.4023,50.0,0.01884,20.4925,-34.212002,0.0635293,0.0284584,-1.14505e-05
1992bs_50.0,0.06369693693320719,18.0085,-0.254896,-0.0468386,10.5104,50.0,0.06405,52.374901,-37.271801,0.12543,0.048183,-0.00107221
1993B_50.0,0.07076031118799511,18.20988,-0.323197,0.0340779,9.39781,50.0,0.0696,158.717407,-34.4417,0.16341,0.0550363,-0.00100578
1993H_50.0,0.02450436330191371,16.41437,-2.04912,0.0676368,10.4495,50.0,0.0236,208.209198,-30.707899,0.0590631,0.0298027,-0.000432217
1993O_50.0,0.05148334984662933,17.37693,-0.650657,-0.102247,10.2759,50.0,0.05051,202.784897,-33.215199,0.10008,0.045546,-2.98314e-05
1993ag_50.0,0.05018466852264812,17.61411,-0.828686,0.0473087,10.7191,50.0,0.04909,150.893799,-35.462601,0.13624,0.0500625,-0.00123586
19940_1.0,0.155903683677492,19.55731,1.05584,-0.0228939,9.91499,1.0,0.1571,315.393494,-0.2685,0.21423,0.0261798,0.000877521
1994M_61.0,0.024260898894985974,16.0309,-1.42754,0.0428758,10.974,61.0,0.02308,187.785904,0.6054,0.0903784,0.0287262,-8.24662e-05
1994S_61.0,0.01619033373688016,14.49675,0.30392,-0.101615,10.2053,61.0,0.01524,187.841003,29.134399,0.1827,0.028154,0.000590405
19953_1.0,0.12189616915455627,18.95458,0.72853,-0.130952,9.37542,1.0,0.12323,332.930511,0.5791,0.18419,0.0221102,0.000929486
1995ac_61.0,0.048657906976484595,16.80888,0.7562,-0.0614351,10.3844,61.0,0.0499,341.392212,-8.7513,0.0877414,0.0276238,-0.000222344
1995ak_61.0,0.021934264882839265,15.77597,-1.0611,0.0716726,10.0066,61.0,0.02269,41.453499,3.2306,0.11929,0.0334302,0.00074719
